"","grain_screened","proof_on_ctd_ink","paper_type","ink_type","solvent_type","type_on_cylinder","press_type","press","unit_number","cylinder_size","paper_mill_location","plating_tank","proof_cut","viscosity","ink_temperature","humifity","roughness","blade_pressure","varnish_pct","press_speed","ink_pct","solvent_pct","ESA_Voltage","ESA_Amperage","wax","hardener","roller_durometer","current_density","anode_space_ratio","chrome_content","band_type"
"414","grain_screened_3","proof_on_ctd_ink_3","paper_type_4","ink_type_3","solvent_type_1","type_on_cylinder_1","press_type_4","816",9,"cylinder_size_3","paper_mill_location_3","1910",35,42,15.5,80,1,26,0,1800,62.5,37.5,3,0,2.5,2,40,5,100,3,"noband"
"462","grain_screened_2","proof_on_ctd_ink_3","paper_type_2","ink_type_1","solvent_type_1","type_on_cylinder_1","press_type_4","815",2,"cylinder_size_2","paper_mill_location_1","1910",45,61,14,98,0.75,30,0,1600,58.8,41.2,2,0,2.4,0.9,30,5,100,3,"band"
"178","grain_screened_3","proof_on_ctd_ink_3","paper_type_4","ink_type_3","solvent_type_1","type_on_cylinder_2","press_type_2","813",1,"cylinder_size_2","paper_mill_location_3","1910",50,48,13,80,1,36.1754512011211,18.9,1700,47.2,34,0,0,2.7,0.6,40,2,100,3,"band"
"525","grain_screened_2","proof_on_ctd_ink_3","paper_type_2","ink_type_1","solvent_type_1","type_on_cylinder_2","press_type_1","815",2,"cylinder_size_2","paper_mill_location_1","1911",42.3269335318346,56,14,91,1.125,27,1.19677656057604,1650,59.0161315758006,39.7051177764622,1.19638158171182,-0.00393754894298472,3,1.5,33.9063521318674,5,100,2,"band"
"194","grain_screened_2","proof_on_ctd_ink_3","paper_type_2","ink_type_1","solvent_type_1","type_on_cylinder_2","press_type_3","827",2,"cylinder_size_4","paper_mill_location_1","1910",45,55,15,75,0.75,25,0,2300,59.8,40.2,0,0,2,2.3,30,2,96.6,3,"noband"
"117","grain_screened_3","proof_on_ctd_ink_3","paper_type_4","ink_type_3","solvent_type_1","type_on_cylinder_2","press_type_2","813",1,"cylinder_size_2","paper_mill_location_3","1910",50,52,15.6,71,0.75,34.4500490677704,20.6,1700,46.7,32.7,0,0,2.5,0.6,40,5,106.66,3,"noband"
"298","grain_screened_2","proof_on_ctd_ink_3","paper_type_2","ink_type_1","solvent_type_1","type_on_cylinder_2","press_type_3","828",10,"cylinder_size_4","paper_mill_location_1","1910",57,57,14.2,78,1,30,10.5,2400,52.6,36.8,0,0,2.5,1,33,5,93.75,3,"noband"
"228","grain_screened_2","proof_on_ctd_ink_3","paper_type_2","ink_type_1","solvent_type_1","type_on_cylinder_2","press_type_4","815",2,"cylinder_size_2","paper_mill_location_1","1910",43.5601430014936,60,15,78,0.625,34,15,1750,50,35,0,0,2.5,1,33,4.59691301492595,102.721854727749,3,"noband"
"243","grain_screened_3","proof_on_ctd_ink_3","paper_type_4","ink_type_3","solvent_type_1","type_on_cylinder_2","press_type_1","802",7,"cylinder_size_2","paper_mill_location_3","1911",30,56,16,70,0.673999676037545,60,21.8,1400,45.4,32.8,0,0,3,0.9,40,5,96.8,3,"noband"
"13","grain_screened_3","proof_on_ctd_ink_3","paper_type_4","ink_type_3","solvent_type_1","type_on_cylinder_2","press_type_3","821",7,"cylinder_size_4","paper_mill_location_3","1911",40,45,14.5,70,0.625,25,0,1500,59.5,40.5,0,0,2,1,40,5,100,3,"band"
"373","grain_screened_2","proof_on_ctd_ink_3","paper_type_4","ink_type_1","solvent_type_1","type_on_cylinder_1","press_type_3","828",9,"cylinder_size_4","paper_mill_location_3","1910",50,43,15.5,72,0.75,30,5.1,2200,50.6,44.3,0,0,2.5,1.3,35,5,96.77,3,"noband"
"90","grain_screened_2","proof_on_ctd_ink_3","paper_type_2","ink_type_1","solvent_type_1","type_on_cylinder_2","press_type_3","828",2,"cylinder_size_4","paper_mill_location_1","1911",40,49,15.3,74,1,34,0,2000,62.5,37.5,0,0,2.2,1,35,5,100,3,"noband"
"347","grain_screened_2","proof_on_ctd_ink_3","paper_type_2","ink_type_1","solvent_type_1","type_on_cylinder_1","press_type_3","827",2,"cylinder_size_4","paper_mill_location_1","1911",30,53,14,85,0.75,30,15,2290,50,35,0,0,2,1.5,33,5,110.7,3,"noband"
"354","grain_screened_3","proof_on_ctd_ink_3","paper_type_4","ink_type_3","solvent_type_1","type_on_cylinder_1","press_type_3","828",9,"cylinder_size_4","paper_mill_location_3","1910",65,42,17.5,100,1.125,25,17.5,2250,48.5,34,0,0,2.5,1,40,5,100,3,"noband"
"25","grain_screened_2","proof_on_ctd_ink_3","paper_type_2","ink_type_1","solvent_type_1","type_on_cylinder_2","press_type_3","827",9,"cylinder_size_4","paper_mill_location_4","1911",45,42,14,70,1,20,8,1850,57.5,34.5,0,0,2,0.7,35,5,107.4,3,"band"
"518","grain_screened_3","proof_on_ctd_ink_3","paper_type_3","ink_type_2","solvent_type_1","type_on_cylinder_2","press_type_1","815",2,"cylinder_size_2","paper_mill_location_3","1911",47.0434560068116,40,16.5,84,0.625,26,6.25223283421162,1565,55.3220609929278,38.4765303018136,0.831622446154993,0.0469612220601622,2.5,1,36.6908794750198,5,106.6,2,"band"
"425","grain_screened_2","proof_on_ctd_ink_3","paper_type_2","ink_type_1","solvent_type_1","type_on_cylinder_2","press_type_3","828",2,"cylinder_size_4","paper_mill_location_1","1910",45,41,16.1,74,1,30,0,1800,62.5,37.5,1,0,2.5,1.2,30,5,106.45,3,"noband"
"210","grain_screened_3","proof_on_ctd_ink_3","paper_type_4","ink_type_3","solvent_type_1","type_on_cylinder_1","press_type_1","802",2,"cylinder_size_2","paper_mill_location_3","1910",50,56,14.3,105,0.75,70,0,1600,55.5,44.5,0,0,3,1,45,3,100,3,"band"
"372","grain_screened_2","proof_on_ctd_ink_3","paper_type_4","ink_type_1","solvent_type_1","type_on_cylinder_1","press_type_3","828",2,"cylinder_size_4","paper_mill_location_3","1910",45,43,16,80,0.75,30,3.1,2200,51,45.9,0,0,2.5,1.3,35,5,103.33,3,"noband"
"142","grain_screened_2","proof_on_ctd_ink_3","paper_type_4","ink_type_1","solvent_type_1","type_on_cylinder_2","press_type_3","827",9,"cylinder_size_4","paper_mill_location_1","1911",37,70,15,65,0.75,25,5.4,1500,54.3,40.2,0,0,2.3,0.9,40,5,106.66,3,"noband"
"489","grain_screened_2","proof_on_ctd_ink_3","paper_type_2","ink_type_1","solvent_type_1","type_on_cylinder_2","press_type_3","824",9,"cylinder_size_4","paper_mill_location_1","1910",35,42,15,78,0.5625,40,2.98846010867169,1750,57.7052568299352,39.2454244247017,1.86797958162846,0.00302243095090599,2.3,1,32.169250541598,5,103,3,"band"
"22","grain_screened_2","proof_on_ctd_ink_3","paper_type_2","ink_type_1","solvent_type_1","type_on_cylinder_2","press_type_3","824",2,"cylinder_size_4","paper_mill_location_1","1911",30,43,16.3,70,0.8125,25,1.2,2200,58.1,40.7,4,0,2,1,30,5,96.875,3,"noband"
"308","grain_screened_2","proof_on_ctd_ink_3","paper_type_2","ink_type_1","solvent_type_1","type_on_cylinder_2","press_type_4","815",1,"cylinder_size_3","paper_mill_location_1","1910",35,72,15.2,72,1,36,0,2200,65.2,34.8,0,0,2.5,1,30,5,93.6,1,"band"
"134","grain_screened_3","proof_on_ctd_ink_3","paper_type_4","ink_type_3","solvent_type_1","type_on_cylinder_1","press_type_3","821",2,"cylinder_size_4","paper_mill_location_3","1911",55,45,15.5,79,0.625,20,16.7,1850,54.3,34.3,4,0,2.5,1,34,5,100,3,"noband"
"223","grain_screened_3","proof_on_ctd_ink_3","paper_type_4","ink_type_3","solvent_type_1","type_on_cylinder_2","press_type_2","813",6,"cylinder_size_2","paper_mill_location_2","1910",50,53,16.5,90,0.75,36.1407664663521,11.3,1300,51.5,37.1,0,0,2.5,0.7,28,3,100,3,"noband"
